flight,date,route,commanded_speed_mps,payload_g,cruise_altitude_m,duration_s,energy_wh_abs_vi,mean_power_w_abs_vi,central_segment_power_w,mean_wind_mps,p95_wind_mps
136,2019-06-29,R1,8.0,250.0,25.0,177.2,15.650128507979922,317.9484346993664,475.2498803907286,3.7567202078268274,9.300000190734863
137,2019-06-29,R1,8.0,250.0,100.0,197.4,24.50399658208493,446.88139663376774,538.9905982963571,5.524030421906551,11.800000190734865
138,2019-06-29,R1,8.0,500.0,100.0,200.9,26.793520036065935,480.1228080131277,581.5395431190989,6.346676628121339,13.810000133514396
139,2019-06-29,R1,12.0,0.0,50.0,156.7,16.473606285664772,378.4619184964466,498.9220947441067,6.177320568641407,13.399999618530273
140,2019-06-29,R1,4.0,500.0,25.0,199.2,25.50767956028482,460.982160728039,571.3827050567595,4.745681813539881,9.199999809265137
141,2019-06-29,R1,12.0,0.0,75.0,237.6,19.805591309050246,300.08471680379165,414.1231473498548,5.370902159702141,14.100000381469727
142,2019-07-01,R1,8.0,250.0,75.0,177.5,21.294754882967123,431.89362016158674,525.2419720519316,4.168354435309076,9.800000190734863
143,2019-07-01,R1,12.0,0.0,75.0,167.9,17.598018336141276,377.3249911263168,482.960392245264,4.733392862416804,14.0
144,2019-07-01,R1,8.0,500.0,50.0,173.5,19.96252332017273,414.20797667217187,541.5454402961167,4.27547495713094,10.0
145,2019-07-01,R1,6.0,500.0,100.0,220.4,28.56912807308652,466.6463750594894,565.4041656074154,4.073061231204441,8.300000190734862
146,2019-07-01,R1,10.0,0.0,25.0,182.5,13.119578758356669,258.7971700278576,315.09419127068946,4.1444991710542265,11.600000381469727
147,2019-07-01,R1,6.0,250.0,75.0,244.2,23.973679440496692,353.42033573213797,451.77982080467945,3.509208106588483,8.100000381469728
148,2019-07-01,R1,4.0,0.0,50.0,304.2,22.872776012552833,270.6837397935247,325.8679702073225,2.809077452682602,5.800000190734862
149,2019-07-03,R1,10.0,250.0,75.0,173.81,20.47731400445171,424.1316979231699,532.8564327938443,4.4229706355687455,11.899999618530273
150,2019-07-03,R1,12.0,0.0,100.0,182.1,19.514813088550508,385.79531641286013,473.062993606838,4.578024693403715,13.5
151,2019-07-03,R1,12.0,250.0,50.0,149.71,17.418046284187348,418.84287370966837,547.4881414452,4.684984984579268,12.899999618530273
152,2019-07-03,R1,10.0,500.0,100.0,193.39,25.77144346294187,479.7414368198497,580.6458374051118,4.068217053865046,10.800000190734863
153,2019-07-03,R1,10.0,250.0,100.0,188.29,22.55956770747394,431.3263781767815,523.5521404545458,4.151471756297914,11.300000190734865
154,2019-07-03,R1,6.0,250.0,50.0,176.7,21.361609459030625,435.21105858806027,525.4943765463247,3.9090677997444647,7.900000095367432
155,2019-07-03,R1,12.0,500.0,100.0,188.2,25.207337460257936,482.18073781577357,587.1692306454842,4.984952231928421,13.199999809265135
156,2019-07-03,R1,4.0,500.0,50.0,217.1,28.976140348744327,480.48873908558073,573.504841820165,3.799378016383053,6.9000000953674325
157,2019-07-03,R1,10.0,250.0,50.0,150.91,17.129970260566672,408.6402023592872,511.94186953976464,4.128557211501682,11.399999618530273
158,2019-07-03,R1,12.0,250.0,75.0,168.9,20.174657506554887,430.0104619514363,547.2217745959794,4.350221827137015,13.070000267028814
159,2019-07-03,R1,6.0,250.0,25.0,160.2,18.15567742648307,407.99275115692296,514.9591100923747,3.8309924972665668,7.800000190734862
160,2019-07-03,R1,4.0,250.0,50.0,218.0,25.860248532591864,427.04997576757205,517.6906309767315,3.464624911546707,6.9000000953674325
162,2019-07-03,R1,8.0,500.0,75.0,181.3,23.42424552471785,465.12566954762417,555.0286930806949,4.316500831457167,10.5
163,2019-07-03,R1,6.0,0.0,75.0,204.11,20.424847396649618,360.2442341283554,444.5428490884366,4.308235291106736,8.699999809265138
164,2019-07-03,R1,10.0,0.0,100.0,193.1,20.196345012933996,376.5242985321719,459.8131368149079,4.614452221917847,12.600000381469727
165,2019-07-03,R1,8.0,0.0,75.0,206.0,18.635742234779528,325.67316526799175,437.9109501082501,4.480276559518848,12.0
166,2019-07-09,R1,6.0,500.0,50.0,191.99,22.272784300433646,417.6364575319606,548.014798367887,4.168930525988178,9.300000190734863
167,2019-07-09,R1,10.0,500.0,25.0,142.51,16.008416703954698,404.3947802556797,564.4062166988302,4.3995793842319815,11.349999904632568
168,2019-07-09,R1,10.0,250.0,75.0,180.8,20.683735677879493,411.84429447105185,525.5560579762358,4.323548912458357,11.399999618530273
169,2019-07-09,R1,6.0,0.0,50.0,183.3,19.61577999395225,385.2526349057725,474.29861606600946,3.8836333964221215,8.0
170,2019-07-09,R1,6.0,0.0,25.0,164.5,16.549830032852043,362.1847302022332,466.2408400149901,4.315909099605951,9.100000381469727
171,2019-07-09,R1,12.0,0.0,25.0,132.09,13.10708675322377,357.2224416050085,489.4786796919262,4.964285718661452,13.300000190734865
172,2019-07-09,R1,6.0,0.0,100.0,221.0,23.60689473117833,384.54670150335744,457.497569740974,3.8642953933900612,8.0
173,2019-07-09,R1,6.0,250.0,100.0,236.6,26.923657881383736,409.6583616778591,534.1809855988006,4.077108439192714,8.82000007629395
174,2019-07-09,R1,12.0,250.0,75.0,171.8,19.994482040152988,418.97634077154106,543.1958411113663,4.35104711962308,12.800000190734865
175,2019-07-09,R1,6.0,0.0,75.0,195.2,20.816565655199206,383.91207150982143,453.5976495787909,4.095628841820122,8.199999809265138
176,2019-07-09,R1,8.0,0.0,100.0,203.4,21.951787497453576,388.52721234431107,481.9455957223965,4.146131182324166,10.219999885559087
177,2019-07-09,R1,10.0,0.0,25.0,139.0,13.557357293179884,351.1258003989035,479.5947917322522,4.934015066746875,11.899999618530273
178,2019-07-10,R1,10.0,500.0,25.0,138.1,15.913542980432396,414.83529854856357,563.9410203231488,4.703675672266934,12.800000190734865
179,2019-07-10,R1,6.0,500.0,100.0,211.9,28.37731900710931,482.1064106918052,569.5150248663323,4.78711960649794,11.600000381469727
180,2019-07-10,R1,10.0,500.0,75.0,172.0,22.002111614253902,460.509312856477,568.8967335693312,5.323780476008558,14.600000381469727
181,2019-07-10,R1,6.0,250.0,50.0,175.6,20.794896083792626,426.3190541096438,512.1585766952402,4.609044369627998,9.899999618530273
182,2019-07-10,R1,8.0,500.0,50.0,180.8,20.476773946239838,407.723375035749,565.683468173354,4.185584095668576,11.600000381469727
183,2019-07-10,R1,12.0,500.0,25.0,135.9,15.154406165554697,401.44122292860123,569.2799860874702,4.930870996946274,14.0
184,2019-07-10,R1,4.0,500.0,100.0,249.9,34.18684956031291,492.48762871999384,565.6644889653546,4.223201442715362,7.800000190734862
185,2019-07-10,R1,10.0,250.0,50.0,190.3,17.703678090895362,334.90930702692225,446.1758816474913,4.186524829731108,12.5
186,2019-07-10,R1,12.0,0.0,75.0,168.9,18.54096382933139,395.18928233033154,504.7020912682267,4.814893613787407,14.565000247955332
187,2019-07-10,R1,12.0,250.0,25.0,137.8,13.867825975343036,362.2944376722419,515.5615537132105,4.532282612286508,13.105000352859493
188,2019-07-10,R1,4.0,0.0,100.0,306.3,27.482740419033917,323.0096817124456,412.623261510414,3.447747301737195,7.699999809265138
189,2019-07-10,R1,8.0,250.0,25.0,147.9,15.148736933134415,368.731933463718,494.4122355076935,4.98987855282631,10.5
190,2019-07-10,R1,10.0,250.0,100.0,196.61,23.005921081882445,421.2467112292192,526.8516829784598,4.129878044741728,12.5
191,2019-07-15,R1,12.0,250.0,100.0,193.0,23.148353370912275,431.7827571776383,521.2346279252534,3.499145301037179,12.699999809265135
192,2019-07-15,R1,12.0,0.0,50.0,158.89,15.284676337514666,346.3077274532872,464.30996949835014,3.779433975087584,12.699999809265135
193,2019-07-15,R1,4.0,500.0,50.0,217.8,27.860684210926493,460.50717704010725,531.1451281328983,3.283620105219232,5.800000190734862
194,2019-07-15,R1,12.0,0.0,100.0,204.71,19.337946633918623,340.07428988377234,458.6329534885086,3.648389458154515,12.399999618530273
195,2019-07-15,R1,8.0,250.0,100.0,208.79,23.274456763600014,401.3029567937164,511.343811609167,3.559397413236339,10.0
196,2019-07-15,R1,12.0,250.0,50.0,266.11,16.895127222763374,228.56133930310077,254.23690272546247,2.566422540243243,12.130000209808344
197,2019-07-15,R1,10.0,250.0,25.0,137.3,14.207579011833054,372.52210082009464,504.7845154150807,4.45272925056875,11.399999618530273
198,2019-07-15,R1,10.0,0.0,50.0,152.9,15.764355865192666,371.16861422297967,458.16736229770544,4.088431371573139,11.399999618530273
199,2019-07-15,R1,4.0,250.0,50.0,232.0,24.787023461039098,384.6262261195722,492.6598676944066,2.90354837492589,5.300000190734863
200,2019-07-15,R1,4.0,500.0,25.0,196.89,24.061761732518498,439.95298002471736,538.1004189257412,3.5154725544427228,5.599999904632568
201,2019-07-15,R1,4.0,250.0,75.0,234.5,28.178064688030982,432.58436194845,505.80082830006035,3.1733205358492436,5.699999809265138
202,2019-07-15,R1,4.0,250.0,25.0,214.32,22.702568816713104,381.3421413781597,507.51713904233213,3.121653851526303,5.400000095367432
203,2019-07-15,R1,8.0,0.0,25.0,142.7,14.325519970558075,361.40064396642657,452.7087871729558,4.305047324747944,9.199999809265137
204,2019-07-15,R1,6.0,250.0,25.0,166.5,18.36814196995836,397.14901556666723,503.36966009076514,3.7575539587427387,7.599999904632567
205,2019-07-15,R1,6.0,500.0,25.0,161.8,19.469796421454124,433.1969537529966,552.6529003784225,4.015199264599506,7.800000190734862
206,2019-07-15,R1,8.0,250.0,75.0,185.7,20.838842736315097,403.9840271983541,508.70633938171466,4.024616631555211,9.899999618530273
207,2019-07-15,R1,8.0,0.0,50.0,165.2,16.54055150823678,360.44785369038993,457.01943782644804,4.545281314482057,10.0
208,2019-07-15,R1,6.0,250.0,75.0,198.09,22.990103302176305,417.8119636924363,508.3286261683956,4.267499998031241,8.5
209,2019-07-15,R1,6.0,500.0,50.0,175.3,22.986734587491885,472.0607217054807,561.9981331172627,4.021214716066347,8.5
210,2019-07-15,R1,4.0,250.0,100.0,251.49,31.161511018621287,446.0671981670707,511.89285116399196,3.3499105508990707,5.800000190734862
211,2019-07-18,A1,0.0,0.0,0.0,131.9,0.1597332490947395,4.35966411479198,4.320205735021478,0.09103291849611024,0.20000000298023224
212,2019-07-18,A1,0.0,0.0,0.0,120.3,0.11252732778874062,3.367401330336378,3.3461943344470373,0.138757766089084,0.20000000298023224
213,2019-07-18,A1,0.0,0.0,0.0,58.61,0.062313751007790096,3.8274953698693794,3.8609875066796837,0.14744898211210966,0.20000000298023224
214,2019-07-18,A2,0.0,0.0,0.0,136.21,0.358441579568377,9.473531212437834,10.211642601777083,0.11846154034137726,0.20000000298023224
215,2019-07-18,A2,0.0,0.0,0.0,58.59,0.15418712116840189,9.473863051821928,9.815350556810536,0.11099744410923375,0.20000000298023224
216,2019-07-18,A2,0.0,0.0,0.0,58.69,0.1476168421177612,9.054704917770323,10.143516557706862,0.08698979721461632,0.10000000149011612
217,2019-07-18,A3,0.0,0.0,0.0,140.1,1.2726195832088534,32.701145607079745,36.724196428073775,0.30320856222972514,0.5
218,2019-07-18,A3,0.0,0.0,0.0,142.8,1.259193342230025,31.744369972185503,36.17669232502194,0.22791186279977857,0.4000000059604645
219,2019-07-18,A3,0.0,0.0,0.0,126.41,1.2393204780256253,35.29430995089194,35.248977088530395,0.2614014326924383,0.4000000059604645
221,2019-07-18,H,0.0,0.0,3.0,121.2,15.508426023464759,460.6463175286562,457.28322701886805,2.6887515423766466,4.0
222,2019-07-18,H,0.0,0.0,3.0,142.4,18.684184699949714,472.3529839874928,483.1226137842796,2.373263155723873,4.300000190734863
223,2019-07-18,H,0.0,0.0,3.0,128.4,16.311977429836446,457.34516158419945,481.2695892444925,1.8904317351038564,3.5999999046325684
224,2019-07-18,H,0.0,0.0,3.0,176.61,17.64937204689772,359.76297700487964,438.5426854139495,2.256791168491788,3.5999999046325684
225,2019-07-24,R1,8.0,250.0,75.0,174.39,21.216047548542477,437.97104865389593,521.0244067443131,4.6534823712253,11.199999809265137
226,2019-07-24,R1,8.0,500.0,75.0,187.0,22.969246240907335,442.18869768591657,557.4608894601566,4.445004001795817,10.550000190734863
227,2019-07-24,R1,6.0,0.0,100.0,216.21,24.313660725211793,404.8340900548654,483.0007160313766,3.6589743633259526,8.399999618530272
228,2019-07-24,R1,10.0,500.0,100.0,190.71,24.636884822774935,465.06625432326445,570.9382929899859,4.551298186780898,12.150000095367432
229,2019-07-24,R1,10.0,0.0,50.0,157.9,15.376491385692903,350.5723178498699,453.1772330266832,4.7264007635039595,11.540000152587888
230,2019-07-24,R1,6.0,500.0,25.0,164.6,19.51557188920692,426.82903281376014,555.0689934319095,4.1780510048342965,9.699999809265137
231,2019-07-24,R1,8.0,500.0,100.0,198.4,26.96983420538773,489.3719916300193,590.4574552154278,4.184981132048481,10.100000381469727
232,2019-07-24,R1,12.0,500.0,100.0,200.1,24.44088872176262,439.71613892226605,584.4422666724952,3.8640718559628566,12.800000190734865
233,2019-07-24,R1,4.0,0.0,50.0,216.71,23.123508096734916,384.12915485324027,455.49112812879395,3.532365157499518,7.300000190734862
234,2019-07-24,R1,10.0,0.0,100.0,189.3,20.013984428496048,380.6146008588789,463.13978372588696,4.024069683993514,11.199999809265137
235,2019-07-24,R1,12.0,500.0,25.0,141.4,15.078118805637315,383.8842128733687,555.694199859,4.502332986475681,12.899999618530273
236,2019-07-24,R1,12.0,500.0,50.0,155.4,17.893686365829105,414.5255528763499,562.5542561446832,4.768532822893853,13.0
237,2019-07-24,R1,4.0,0.0,100.0,284.61,28.3460898467343,358.54651434680255,460.9999719672142,3.9117554041370948,8.699999809265138
238,2019-07-24,R1,4.0,500.0,50.0,216.31,29.01365705395341,482.86794597675686,564.9486466773898,5.675207766541732,11.0
239,2019-07-24,R1,4.0,500.0,75.0,250.8,31.336042350883936,449.7996509696259,550.8214587323799,5.898267628827545,11.100000381469727
